channel_id	association_count	evidence_row_count	disease_release_count	total_open_targets_evidence_rows	missing_channel_score_rows
europepmc	1230	1230	12	1440	0
eva	501	501	12	1440	0
clinical_precedence	493	493	12	1440	0
gwas_credible_sets	414	414	12	1440	0
impc	360	360	12	1440	0
genomics_england	340	340	11	1440	0
uniprot_literature	305	305	12	1440	0
orphanet	289	289	10	1440	0
uniprot_variants	252	252	11	1440	0
clingen	207	207	8	1440	0
gene2phenotype	170	170	6	1440	0
crispr_screen	135	135	2	1440	0
expression_atlas	123	123	9	1440	0
cancer_gene_census	103	103	2	1440	0
reactome	71	71	5	1440	0
eva_somatic	54	54	5	1440	0
intogen	53	53	1	1440	0
gene_burden	31	31	10	1440	0
cancer_biomarkers	16	16	1	1440	0
crispr	16	16	1	1440	0
